System,Device,Gloabl_Batch_Size,No.Processes,No.Nodes,Dataset_Size,Through_Put
cirrus,cpu,128,64,64,781,1.0479112929174446
cirrus,cuda,128,16,4,781,0.3558253094115117
cirrus,cuda,128,8,2,781,0.4897929837548015
cirrus,cuda,128,4,1,781,0.9509339082256322
cirrus,cuda,128,32,8,781,0.3404731701644526
cirrus,cuda,1024,32,8,97,1.282251102408183
archer2,cpu,4096,32,32,100000,201.1837158203125
archer2,cpu,2048,16,16,100000,104.57008361816406
archer2,cpu,1024,16,16,100000,67.03385162353516
archer2,cpu,1024,8,8,100000,53.50244903564453
archer2,cpu,1024,32,32,100000,81.35586547851562
archer2,cpu,1024,8,8,100000,53.946441650390625
archer2,cpu,512,4,4,100000,28.552396774291992
archer2,cpu,1024,4,4,100000,30.998809814453125
archer2,cpu,1024,2,2,100000,16.659936904907227
archer2,cpu,256,2,2,100000,15.385377883911133
archer2,cpu,1024,1,1,100000,8.52926254272461
archer2,cpu,128,1,1,100000,8.275016784667969

